subj,trial,object_response,shape,texture,imagename
ResNet,63,cat,airplane,bird,airplane13-bird15.JPEG
ResNet,64,airplane,airplane,boat,airplane13-boat3.JPEG
ResNet,65,airplane,airplane,bottle,airplane13-bottle2.JPEG
ResNet,66,airplane,airplane,car,airplane13-car14.JPEG
ResNet,67,bird,airplane,cat,airplane13-cat16.JPEG
ResNet,68,airplane,airplane,chair,airplane13-chair15.JPEG
ResNet,69,airplane,airplane,clock,airplane13-clock19.JPEG
ResNet,70,bird,airplane,dog,airplane13-dog16.JPEG
ResNet,71,oven,airplane,elephant,airplane13-elephant9.JPEG
ResNet,72,airplane,airplane,keyboard,airplane13-keyboard1.JPEG
ResNet,73,clock,airplane,knife,airplane13-knife6.JPEG
ResNet,74,airplane,airplane,oven,airplane13-oven17.JPEG
ResNet,75,airplane,airplane,truck,airplane13-truck18.JPEG
ResNet,76,cat,airplane,bear,airplane14-bear12.JPEG
ResNet,77,airplane,airplane,bicycle,airplane14-bicycle13.JPEG
ResNet,78,bear,airplane,bird,airplane14-bird20.JPEG
ResNet,79,airplane,airplane,boat,airplane14-boat14.JPEG
ResNet,80,bear,airplane,bottle,airplane14-bottle9.JPEG
ResNet,81,airplane,airplane,car,airplane14-car13.JPEG
ResNet,82,bird,airplane,cat,airplane14-cat6.JPEG
ResNet,83,airplane,airplane,chair,airplane14-chair11.JPEG
ResNet,84,clock,airplane,clock,airplane14-clock19.JPEG
ResNet,85,airplane,airplane,dog,airplane14-dog11.JPEG
ResNet,86,cat,airplane,elephant,airplane14-elephant8.JPEG
ResNet,87,knife,airplane,keyboard,airplane14-keyboard12.JPEG
ResNet,88,knife,airplane,knife,airplane14-knife1.JPEG
ResNet,89,oven,airplane,oven,airplane14-oven9.JPEG
ResNet,90,boat,airplane,truck,airplane14-truck8.JPEG
ResNet,91,bird,airplane,bear,airplane15-bear8.JPEG
ResNet,92,bicycle,airplane,bicycle,airplane15-bicycle18.JPEG
ResNet,93,bird,airplane,bird,airplane15-bird18.JPEG
ResNet,94,airplane,airplane,boat,airplane15-boat8.JPEG
ResNet,95,airplane,airplane,bottle,airplane15-bottle5.JPEG
ResNet,96,airplane,airplane,car,airplane15-car13.JPEG
ResNet,97,bird,airplane,cat,airplane15-cat20.JPEG
ResNet,98,bicycle,airplane,chair,airplane15-chair18.JPEG
ResNet,99,boat,airplane,clock,airplane15-clock12.JPEG
ResNet,100,boat,airplane,dog,airplane15-dog9.JPEG
ResNet,101,bird,airplane,elephant,airplane15-elephant8.JPEG
ResNet,102,keyboard,airplane,keyboard,airplane15-keyboard5.JPEG
ResNet,103,bottle,airplane,knife,airplane15-knife11.JPEG
ResNet,104,keyboard,airplane,oven,airplane15-oven20.JPEG
ResNet,105,airplane,airplane,truck,airplane15-truck3.JPEG
ResNet,106,bear,airplane,bear,airplane16-bear4.JPEG
ResNet,107,airplane,airplane,bicycle,airplane16-bicycle9.JPEG
ResNet,108,bird,airplane,bird,airplane16-bird8.JPEG
ResNet,109,boat,airplane,boat,airplane16-boat16.JPEG
ResNet,110,airplane,airplane,bottle,airplane16-bottle8.JPEG
ResNet,111,airplane,airplane,car,airplane16-car14.JPEG
ResNet,112,airplane,airplane,cat,airplane16-cat17.JPEG
ResNet,113,airplane,airplane,chair,airplane16-chair12.JPEG
ResNet,114,keyboard,airplane,clock,airplane16-clock12.JPEG
ResNet,115,oven,airplane,dog,airplane16-dog9.JPEG
ResNet,116,airplane,airplane,elephant,airplane16-elephant4.JPEG
ResNet,117,keyboard,airplane,keyboard,airplane16-keyboard19.JPEG
ResNet,118,airplane,airplane,knife,airplane16-knife4.JPEG
ResNet,119,airplane,airplane,oven,airplane16-oven10.JPEG
ResNet,120,keyboard,airplane,truck,airplane16-truck8.JPEG
ResNet,121,dog,airplane,bear,airplane17-bear15.JPEG
ResNet,122,cat,airplane,bicycle,airplane17-bicycle5.JPEG
ResNet,123,bear,airplane,bird,airplane17-bird4.JPEG
ResNet,124,airplane,airplane,boat,airplane17-boat4.JPEG
ResNet,125,bear,airplane,bottle,airplane17-bottle9.JPEG
ResNet,126,airplane,airplane,car,airplane17-car9.JPEG
ResNet,127,bird,airplane,cat,airplane17-cat10.JPEG
ResNet,128,bird,airplane,chair,airplane17-chair10.JPEG
ResNet,129,bird,airplane,clock,airplane17-clock7.JPEG
ResNet,130,bear,airplane,dog,airplane17-dog6.JPEG
ResNet,131,cat,airplane,elephant,airplane17-elephant18.JPEG
ResNet,132,knife,airplane,keyboard,airplane17-keyboard11.JPEG
ResNet,133,airplane,airplane,knife,airplane17-knife2.JPEG
ResNet,134,bird,airplane,oven,airplane17-oven15.JPEG
ResNet,135,airplane,airplane,truck,airplane17-truck4.JPEG
ResNet,136,cat,airplane,bear,airplane18-bear1.JPEG
ResNet,137,airplane,airplane,bicycle,airplane18-bicycle2.JPEG
ResNet,138,airplane,airplane,bird,airplane18-bird14.JPEG
ResNet,139,airplane,airplane,boat,airplane18-boat11.JPEG
ResNet,140,clock,airplane,bottle,airplane18-bottle6.JPEG
ResNet,141,airplane,airplane,car,airplane18-car15.JPEG
ResNet,142,clock,airplane,cat,airplane18-cat5.JPEG
ResNet,143,airplane,airplane,chair,airplane18-chair11.JPEG
ResNet,144,clock,airplane,clock,airplane18-clock18.JPEG
ResNet,145,airplane,airplane,dog,airplane18-dog17.JPEG
ResNet,146,clock,airplane,elephant,airplane18-elephant1.JPEG
ResNet,147,clock,airplane,keyboard,airplane18-keyboard11.JPEG
ResNet,148,clock,airplane,knife,airplane18-knife17.JPEG
ResNet,149,airplane,airplane,oven,airplane18-oven4.JPEG
ResNet,150,airplane,airplane,truck,airplane18-truck17.JPEG
ResNet,151,bird,airplane,bear,airplane19-bear17.JPEG
ResNet,152,airplane,airplane,bicycle,airplane19-bicycle2.JPEG
ResNet,153,airplane,airplane,bird,airplane19-bird4.JPEG
ResNet,154,airplane,airplane,boat,airplane19-boat10.JPEG
ResNet,155,airplane,airplane,bottle,airplane19-bottle20.JPEG
ResNet,156,airplane,airplane,car,airplane19-car11.JPEG
ResNet,157,bird,airplane,cat,airplane19-cat11.JPEG
ResNet,158,bird,airplane,chair,airplane19-chair13.JPEG
ResNet,159,airplane,airplane,clock,airplane19-clock7.JPEG
ResNet,160,bird,airplane,dog,airplane19-dog5.JPEG
ResNet,161,airplane,airplane,elephant,airplane19-elephant1.JPEG
ResNet,162,clock,airplane,keyboard,airplane19-keyboard13.JPEG
ResNet,163,airplane,airplane,knife,airplane19-knife7.JPEG
ResNet,164,airplane,airplane,oven,airplane19-oven20.JPEG
ResNet,165,airplane,airplane,truck,airplane19-truck15.JPEG
ResNet,166,airplane,airplane,bear,airplane2-bear13.JPEG
ResNet,167,airplane,airplane,bicycle,airplane2-bicycle19.JPEG
ResNet,168,cat,airplane,bird,airplane2-bird3.JPEG
ResNet,169,airplane,airplane,boat,airplane2-boat4.JPEG
ResNet,170,airplane,airplane,bottle,airplane2-bottle17.JPEG
ResNet,171,airplane,airplane,car,airplane2-car6.JPEG
ResNet,172,bird,airplane,cat,airplane2-cat20.JPEG
ResNet,173,knife,airplane,chair,airplane2-chair7.JPEG
ResNet,174,airplane,airplane,clock,airplane2-clock16.JPEG
ResNet,175,dog,airplane,dog,airplane2-dog16.JPEG
ResNet,176,airplane,airplane,elephant,airplane2-elephant4.JPEG
ResNet,177,airplane,airplane,keyboard,airplane2-keyboard7.JPEG
ResNet,178,airplane,airplane,knife,airplane2-knife12.JPEG
ResNet,179,airplane,airplane,oven,airplane2-oven16.JPEG
ResNet,180,airplane,airplane,truck,airplane2-truck19.JPEG
ResNet,181,bird,airplane,bear,airplane20-bear11.JPEG
ResNet,182,airplane,airplane,bicycle,airplane20-bicycle18.JPEG
ResNet,183,dog,airplane,bird,airplane20-bird18.JPEG
ResNet,184,airplane,airplane,boat,airplane20-boat8.JPEG
ResNet,185,knife,airplane,bottle,airplane20-bottle18.JPEG
ResNet,186,airplane,airplane,car,airplane20-car7.JPEG
ResNet,187,airplane,airplane,cat,airplane20-cat6.JPEG
ResNet,188,clock,airplane,chair,airplane20-chair16.JPEG
ResNet,189,airplane,airplane,clock,airplane20-clock3.JPEG
ResNet,190,airplane,airplane,dog,airplane20-dog10.JPEG
ResNet,191,cat,airplane,elephant,airplane20-elephant2.JPEG
ResNet,192,knife,airplane,keyboard,airplane20-keyboard17.JPEG
ResNet,193,knife,airplane,knife,airplane20-knife1.JPEG
ResNet,194,knife,airplane,oven,airplane20-oven12.JPEG
ResNet,195,airplane,airplane,truck,airplane20-truck18.JPEG
ResNet,196,airplane,airplane,bear,airplane3-bear9.JPEG
ResNet,197,knife,airplane,bicycle,airplane3-bicycle5.JPEG
ResNet,198,airplane,airplane,bird,airplane3-bird10.JPEG
ResNet,199,airplane,airplane,boat,airplane3-boat3.JPEG
ResNet,200,airplane,airplane,bottle,airplane3-bottle13.JPEG
ResNet,201,airplane,airplane,car,airplane3-car3.JPEG
ResNet,202,bird,airplane,cat,airplane3-cat5.JPEG
ResNet,203,knife,airplane,chair,airplane3-chair16.JPEG
ResNet,204,airplane,airplane,clock,airplane3-clock13.JPEG
ResNet,205,bird,airplane,dog,airplane3-dog20.JPEG
ResNet,206,knife,airplane,elephant,airplane3-elephant18.JPEG
ResNet,207,airplane,airplane,keyboard,airplane3-keyboard16.JPEG
ResNet,208,airplane,airplane,knife,airplane3-knife13.JPEG
ResNet,209,airplane,airplane,oven,airplane3-oven14.JPEG
ResNet,210,airplane,airplane,truck,airplane3-truck19.JPEG
ResNet,211,bear,airplane,bear,airplane4-bear11.JPEG
ResNet,212,airplane,airplane,bicycle,airplane4-bicycle2.JPEG
ResNet,213,airplane,airplane,bird,airplane4-bird15.JPEG
ResNet,214,airplane,airplane,boat,airplane4-boat5.JPEG
ResNet,215,airplane,airplane,bottle,airplane4-bottle15.JPEG
ResNet,216,airplane,airplane,car,airplane4-car6.JPEG
ResNet,217,bear,airplane,cat,airplane4-cat3.JPEG
ResNet,218,boat,airplane,chair,airplane4-chair10.JPEG
ResNet,219,boat,airplane,clock,airplane4-clock7.JPEG
ResNet,220,airplane,airplane,dog,airplane4-dog11.JPEG
ResNet,221,airplane,airplane,elephant,airplane4-elephant19.JPEG
ResNet,222,knife,airplane,keyboard,airplane4-keyboard20.JPEG
ResNet,223,airplane,airplane,knife,airplane4-knife11.JPEG
ResNet,224,boat,airplane,oven,airplane4-oven1.JPEG
ResNet,225,airplane,airplane,truck,airplane4-truck17.JPEG
ResNet,226,cat,airplane,bear,airplane5-bear7.JPEG
ResNet,227,airplane,airplane,bicycle,airplane5-bicycle12.JPEG
ResNet,228,airplane,airplane,bird,airplane5-bird19.JPEG
ResNet,229,airplane,airplane,boat,airplane5-boat20.JPEG
ResNet,230,airplane,airplane,bottle,airplane5-bottle14.JPEG
ResNet,231,airplane,airplane,car,airplane5-car15.JPEG
ResNet,232,oven,airplane,cat,airplane5-cat13.JPEG
ResNet,233,airplane,airplane,chair,airplane5-chair3.JPEG
ResNet,234,airplane,airplane,clock,airplane5-clock13.JPEG
ResNet,235,cat,airplane,dog,airplane5-dog15.JPEG
ResNet,236,airplane,airplane,elephant,airplane5-elephant20.JPEG
ResNet,237,airplane,airplane,keyboard,airplane5-keyboard7.JPEG
ResNet,238,cat,airplane,knife,airplane5-knife1.JPEG
ResNet,239,airplane,airplane,oven,airplane5-oven5.JPEG
ResNet,240,truck,airplane,truck,airplane5-truck11.JPEG
ResNet,241,boat,airplane,bear,airplane6-bear19.JPEG
ResNet,242,airplane,airplane,bicycle,airplane6-bicycle12.JPEG
ResNet,243,bird,airplane,bird,airplane6-bird9.JPEG
ResNet,244,knife,airplane,boat,airplane6-boat19.JPEG
ResNet,245,airplane,airplane,bottle,airplane6-bottle6.JPEG
ResNet,246,boat,airplane,car,airplane6-car5.JPEG
ResNet,247,bear,airplane,cat,airplane6-cat9.JPEG
ResNet,248,airplane,airplane,chair,airplane6-chair18.JPEG
ResNet,249,keyboard,airplane,clock,airplane6-clock10.JPEG
ResNet,250,cat,airplane,dog,airplane6-dog7.JPEG
ResNet,251,elephant,airplane,elephant,airplane6-elephant13.JPEG
ResNet,252,knife,airplane,keyboard,airplane6-keyboard16.JPEG
ResNet,253,airplane,airplane,knife,airplane6-knife13.JPEG
ResNet,254,airplane,airplane,oven,airplane6-oven17.JPEG
ResNet,255,truck,airplane,truck,airplane6-truck6.JPEG
ResNet,256,airplane,airplane,bear,airplane7-bear5.JPEG
ResNet,257,airplane,airplane,bicycle,airplane7-bicycle10.JPEG
ResNet,258,bicycle,airplane,bird,airplane7-bird7.JPEG
ResNet,259,airplane,airplane,boat,airplane7-boat5.JPEG
ResNet,260,airplane,airplane,bottle,airplane7-bottle7.JPEG
ResNet,261,airplane,airplane,car,airplane7-car17.JPEG
ResNet,262,airplane,airplane,cat,airplane7-cat5.JPEG
ResNet,263,clock,airplane,chair,airplane7-chair16.JPEG
ResNet,264,airplane,airplane,clock,airplane7-clock19.JPEG
ResNet,265,airplane,airplane,dog,airplane7-dog15.JPEG
ResNet,266,bicycle,airplane,elephant,airplane7-elephant10.JPEG
ResNet,267,airplane,airplane,keyboard,airplane7-keyboard12.JPEG
ResNet,268,clock,airplane,knife,airplane7-knife1.JPEG
ResNet,269,airplane,airplane,oven,airplane7-oven10.JPEG
ResNet,270,airplane,airplane,truck,airplane7-truck6.JPEG
ResNet,271,bear,airplane,bear,airplane8-bear5.JPEG
ResNet,272,airplane,airplane,bicycle,airplane8-bicycle13.JPEG
ResNet,273,bird,airplane,bird,airplane8-bird7.JPEG
ResNet,274,airplane,airplane,boat,airplane8-boat19.JPEG
ResNet,275,airplane,airplane,bottle,airplane8-bottle18.JPEG
ResNet,276,airplane,airplane,car,airplane8-car13.JPEG
ResNet,277,airplane,airplane,cat,airplane8-cat8.JPEG
ResNet,278,airplane,airplane,chair,airplane8-chair20.JPEG
ResNet,279,clock,airplane,clock,airplane8-clock10.JPEG
ResNet,280,cat,airplane,dog,airplane8-dog7.JPEG
ResNet,281,airplane,airplane,elephant,airplane8-elephant20.JPEG
ResNet,282,airplane,airplane,keyboard,airplane8-keyboard10.JPEG
ResNet,283,airplane,airplane,knife,airplane8-knife15.JPEG
ResNet,284,airplane,airplane,oven,airplane8-oven7.JPEG
ResNet,285,airplane,airplane,truck,airplane8-truck10.JPEG
ResNet,286,dog,airplane,bear,airplane9-bear20.JPEG
ResNet,287,clock,airplane,bicycle,airplane9-bicycle16.JPEG
ResNet,288,airplane,airplane,bird,airplane9-bird14.JPEG
ResNet,289,airplane,airplane,boat,airplane9-boat5.JPEG
ResNet,290,boat,airplane,bottle,airplane9-bottle15.JPEG
ResNet,291,bicycle,airplane,car,airplane9-car3.JPEG
ResNet,292,bird,airplane,cat,airplane9-cat3.JPEG
ResNet,293,bird,airplane,chair,airplane9-chair20.JPEG
ResNet,294,airplane,airplane,clock,airplane9-clock2.JPEG
ResNet,295,cat,airplane,dog,airplane9-dog18.JPEG
ResNet,296,knife,airplane,elephant,airplane9-elephant18.JPEG
ResNet,297,knife,airplane,keyboard,airplane9-keyboard3.JPEG
ResNet,298,bird,airplane,knife,airplane9-knife9.JPEG
ResNet,299,airplane,airplane,oven,airplane9-oven10.JPEG
ResNet,300,keyboard,airplane,truck,airplane9-truck3.JPEG
ResNet,301,clock,bear,airplane,bear1-airplane15.JPEG
ResNet,302,bear,bear,bicycle,bear1-bicycle15.JPEG
ResNet,303,bear,bear,bird,bear1-bird18.JPEG
ResNet,304,oven,bear,boat,bear1-boat20.JPEG
ResNet,305,clock,bear,bottle,bear1-bottle8.JPEG
ResNet,306,cat,bear,car,bear1-car10.JPEG
ResNet,307,bear,bear,cat,bear1-cat14.JPEG
ResNet,308,clock,bear,chair,bear1-chair20.JPEG
ResNet,309,clock,bear,clock,bear1-clock9.JPEG
ResNet,310,bear,bear,dog,bear1-dog12.JPEG
ResNet,311,bear,bear,elephant,bear1-elephant4.JPEG
ResNet,312,keyboard,bear,keyboard,bear1-keyboard13.JPEG
ResNet,313,clock,bear,knife,bear1-knife8.JPEG
ResNet,314,clock,bear,oven,bear1-oven6.JPEG
ResNet,315,bottle,bear,truck,bear1-truck2.JPEG
ResNet,316,bear,bear,airplane,bear10-airplane14.JPEG
ResNet,317,elephant,bear,bicycle,bear10-bicycle19.JPEG
ResNet,318,bear,bear,bird,bear10-bird2.JPEG
ResNet,319,bear,bear,boat,bear10-boat12.JPEG
ResNet,320,bear,bear,bottle,bear10-bottle8.JPEG
ResNet,321,elephant,bear,car,bear10-car13.JPEG
ResNet,322,bear,bear,cat,bear10-cat10.JPEG
ResNet,323,elephant,bear,chair,bear10-chair12.JPEG
ResNet,324,bear,bear,clock,bear10-clock7.JPEG
ResNet,325,bear,bear,dog,bear10-dog7.JPEG
ResNet,326,bear,bear,elephant,bear10-elephant5.JPEG
ResNet,327,elephant,bear,keyboard,bear10-keyboard13.JPEG
ResNet,328,bear,bear,knife,bear10-knife13.JPEG
ResNet,329,bear,bear,oven,bear10-oven4.JPEG
ResNet,330,bear,bear,truck,bear10-truck15.JPEG
ResNet,331,bear,bear,airplane,bear11-airplane6.JPEG
ResNet,332,bear,bear,bicycle,bear11-bicycle11.JPEG
ResNet,333,bear,bear,bird,bear11-bird15.JPEG
ResNet,334,bear,bear,boat,bear11-boat7.JPEG
ResNet,335,bear,bear,bottle,bear11-bottle1.JPEG
ResNet,336,bear,bear,car,bear11-car9.JPEG
ResNet,337,bear,bear,cat,bear11-cat12.JPEG
ResNet,338,cat,bear,chair,bear11-chair7.JPEG
ResNet,339,bear,bear,clock,bear11-clock18.JPEG
ResNet,340,bear,bear,dog,bear11-dog14.JPEG
ResNet,341,bear,bear,elephant,bear11-elephant9.JPEG
ResNet,342,clock,bear,keyboard,bear11-keyboard1.JPEG
ResNet,343,bear,bear,knife,bear11-knife8.JPEG
ResNet,344,bear,bear,oven,bear11-oven7.JPEG
ResNet,345,bear,bear,truck,bear11-truck18.JPEG
ResNet,346,bear,bear,airplane,bear12-airplane1.JPEG
ResNet,347,bear,bear,bicycle,bear12-bicycle11.JPEG
ResNet,348,bear,bear,bird,bear12-bird7.JPEG
ResNet,349,cat,bear,boat,bear12-boat17.JPEG
ResNet,350,clock,bear,bottle,bear12-bottle2.JPEG
ResNet,351,clock,bear,car,bear12-car1.JPEG
ResNet,352,bear,bear,cat,bear12-cat6.JPEG
ResNet,353,clock,bear,chair,bear12-chair3.JPEG
ResNet,354,clock,bear,clock,bear12-clock6.JPEG
ResNet,355,bear,bear,dog,bear12-dog12.JPEG
ResNet,356,bear,bear,elephant,bear12-elephant17.JPEG
ResNet,357,clock,bear,keyboard,bear12-keyboard12.JPEG
ResNet,358,clock,bear,knife,bear12-knife4.JPEG
ResNet,359,keyboard,bear,oven,bear12-oven5.JPEG
ResNet,360,clock,bear,truck,bear12-truck20.JPEG
ResNet,361,bear,bear,airplane,bear13-airplane14.JPEG
ResNet,362,bear,bear,bicycle,bear13-bicycle15.JPEG
ResNet,363,bear,bear,bird,bear13-bird17.JPEG
ResNet,364,clock,bear,boat,bear13-boat10.JPEG
ResNet,365,clock,bear,bottle,bear13-bottle6.JPEG
ResNet,366,bear,bear,car,bear13-car13.JPEG
ResNet,367,bear,bear,cat,bear13-cat1.JPEG
ResNet,368,clock,bear,chair,bear13-chair7.JPEG
ResNet,369,bear,bear,clock,bear13-clock1.JPEG
ResNet,370,bear,bear,dog,bear13-dog18.JPEG
ResNet,371,bear,bear,elephant,bear13-elephant20.JPEG
ResNet,372,bear,bear,keyboard,bear13-keyboard15.JPEG
ResNet,373,bear,bear,knife,bear13-knife17.JPEG
ResNet,374,bear,bear,oven,bear13-oven2.JPEG
ResNet,375,bear,bear,truck,bear13-truck6.JPEG
ResNet,376,bear,bear,airplane,bear14-airplane14.JPEG
ResNet,377,clock,bear,bicycle,bear14-bicycle9.JPEG
ResNet,378,bear,bear,bird,bear14-bird1.JPEG
ResNet,379,bear,bear,boat,bear14-boat8.JPEG
ResNet,380,cat,bear,bottle,bear14-bottle6.JPEG
ResNet,381,bear,bear,car,bear14-car15.JPEG
ResNet,382,bear,bear,cat,bear14-cat3.JPEG
ResNet,383,bottle,bear,chair,bear14-chair1.JPEG
ResNet,384,elephant,bear,clock,bear14-clock12.JPEG
ResNet,385,bear,bear,dog,bear14-dog3.JPEG
ResNet,386,bear,bear,elephant,bear14-elephant15.JPEG
ResNet,387,clock,bear,keyboard,bear14-keyboard12.JPEG
ResNet,388,bear,bear,knife,bear14-knife14.JPEG
ResNet,389,bottle,bear,oven,bear14-oven14.JPEG
ResNet,390,bear,bear,truck,bear14-truck10.JPEG
ResNet,391,bear,bear,airplane,bear15-airplane18.JPEG
ResNet,392,bear,bear,bicycle,bear15-bicycle6.JPEG
ResNet,393,bear,bear,bird,bear15-bird7.JPEG
ResNet,394,bear,bear,boat,bear15-boat14.JPEG
ResNet,395,dog,bear,bottle,bear15-bottle17.JPEG
ResNet,396,bear,bear,car,bear15-car15.JPEG
ResNet,397,dog,bear,cat,bear15-cat17.JPEG
ResNet,398,dog,bear,chair,bear15-chair20.JPEG
ResNet,399,bear,bear,clock,bear15-clock13.JPEG
ResNet,400,bear,bear,dog,bear15-dog1.JPEG
ResNet,401,bear,bear,elephant,bear15-elephant8.JPEG
ResNet,402,bird,bear,keyboard,bear15-keyboard8.JPEG
ResNet,403,bird,bear,knife,bear15-knife9.JPEG
ResNet,404,bottle,bear,oven,bear15-oven5.JPEG
ResNet,405,bottle,bear,truck,bear15-truck11.JPEG
ResNet,406,bear,bear,airplane,bear16-airplane20.JPEG
ResNet,407,elephant,bear,bicycle,bear16-bicycle9.JPEG
ResNet,408,bear,bear,bird,bear16-bird20.JPEG
ResNet,409,oven,bear,boat,bear16-boat18.JPEG
ResNet,410,bottle,bear,bottle,bear16-bottle8.JPEG
ResNet,411,bottle,bear,car,bear16-car8.JPEG
ResNet,412,bear,bear,cat,bear16-cat15.JPEG
ResNet,413,bird,bear,chair,bear16-chair10.JPEG
ResNet,414,knife,bear,clock,bear16-clock1.JPEG
ResNet,415,bear,bear,dog,bear16-dog19.JPEG
ResNet,416,bear,bear,elephant,bear16-elephant4.JPEG
ResNet,417,oven,bear,keyboard,bear16-keyboard2.JPEG
ResNet,418,clock,bear,knife,bear16-knife9.JPEG
ResNet,419,bottle,bear,oven,bear16-oven18.JPEG
ResNet,420,oven,bear,truck,bear16-truck7.JPEG
ResNet,421,bear,bear,airplane,bear17-airplane14.JPEG
ResNet,422,bear,bear,bicycle,bear17-bicycle11.JPEG
ResNet,423,bear,bear,bird,bear17-bird11.JPEG
ResNet,424,bear,bear,boat,bear17-boat12.JPEG
ResNet,425,clock,bear,bottle,bear17-bottle6.JPEG
ResNet,426,elephant,bear,car,bear17-car17.JPEG
ResNet,427,bear,bear,cat,bear17-cat9.JPEG
ResNet,428,bear,bear,chair,bear17-chair4.JPEG
ResNet,429,clock,bear,clock,bear17-clock15.JPEG
ResNet,430,bear,bear,dog,bear17-dog10.JPEG
ResNet,431,bear,bear,elephant,bear17-elephant9.JPEG
ResNet,432,clock,bear,keyboard,bear17-keyboard6.JPEG
ResNet,433,knife,bear,knife,bear17-knife1.JPEG
ResNet,434,keyboard,bear,oven,bear17-oven3.JPEG
ResNet,435,bear,bear,truck,bear17-truck4.JPEG
ResNet,436,bear,bear,airplane,bear18-airplane2.JPEG
ResNet,437,bottle,bear,bicycle,bear18-bicycle3.JPEG
ResNet,438,bear,bear,bird,bear18-bird16.JPEG
ResNet,439,clock,bear,boat,bear18-boat4.JPEG
ResNet,440,bear,bear,bottle,bear18-bottle3.JPEG
ResNet,441,clock,bear,car,bear18-car2.JPEG
ResNet,442,bear,bear,cat,bear18-cat2.JPEG
